Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,58.96057151079555,8.5913887368155,25.463492597363405,29.54056796461367,595.6111202728482,1.0693771438303756
Validation-MSE,10.738813046206955,12.393172639191205,5.351307137828411,6.636476213468969,170.34576462800914,1.2528374979978971
testing-MAE,7.418540428296115,2.2934785082186813,4.873434361699737,5.279420935026187,24.1917418038665,0.8370798410158412
validation-MAE,2.8622738763895588,2.6429990482734533,1.9481283304721768,2.1848583767539576,11.129226148122688,0.8913173647292291
testing-mape,14.15890621480317,2.6013741488709003,8.4266990306079,9.212516938676313,20.345602308724235,4.424281200220898
validation-mape,6.290600896502037,3.0188022633476206,3.551023854733437,4.006249187955778,10.43888614672587,4.741283362301492
testing-RMSE,7.6785787428921735,2.931107083819269,5.046136402968454,5.43512354639834,24.405145364714553,1.034106930559106
validation-RMSE,3.27701282362565,3.5203938187639183,2.313289246468848,2.576135907414236,13.051657543316448,1.119302237109306
testing-MPE,14.15890621480317,1.0419790434697285,8.4266990306079,9.212516938676313,20.345602308724235,-1.3069116622232666
validation-MPE,5.76536925655911,-0.9048698547914633,2.8090969431755717,3.412454712729597,10.27690868087022,-3.892843648530933
