Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,40.105994046450704,9.751110074175498,1.9085113395618216,10.045541833798119,13.354905214668706,1.7538210262660376
Validation-MSE,7.895201433760621,18.454063649679057,3.846439449606544,9.523754744672217,28.368198360797034,2.4266669008405732
testing-MAE,6.016122983746285,2.637728216766628,1.116288842457999,2.967738438444154,2.9790097254995165,1.1256476782577651
validation-MAE,2.430425384238626,3.4538373679563272,1.5827214273167654,2.6531336755820827,4.496987324597811,1.270531204546209
testing-mape,11.112969128028869,3.042235143348947,1.7906833130303927,4.564497224268725,2.0748869882891245,5.968427827769675
validation-mape,5.229907539782822,3.9146928330785715,2.776548060892258,4.498747697370288,3.8563042563975034,6.684472407759098
testing-RMSE,6.332929341659411,3.122676748268302,1.3814888126806606,3.1694702765285747,3.6544363744179083,1.3243190802318139
validation-RMSE,2.8098401082197935,4.295819322280566,1.9612341649090617,3.0860581239944618,5.326180466412778,1.5577762679026066
testing-MPE,11.112969128028869,2.8592706554682135,0.43043737137687127,-4.504788765422836,0.9735324826886124,-2.4005295830017115
validation-MPE,4.6739262018455765,0.5486327634716873,-2.2231123958963295,-4.158731202414424,-3.719149674802793,-5.748804750103645
