Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,15.756564079677267,32.652829172777444,5.212930458914023,39.13558325489835,1598.9471205226114,5.060044581655896
Validation-MSE,23.46944661311925,62.373778052022985,9.896656915594523,25.955745815264315,427.1541942624165,3.66963162129071
testing-MAE,3.0809521497878363,4.665327619520879,1.9450320359966986,6.035715219272851,38.74743746421287,1.949536480372606
validation-MAE,4.176481930400563,6.406224662128647,2.60101738296134,4.50535544313665,18.09378650985557,1.583141997052109
testing-mape,5.223483538764039,5.593381273217978,3.1030237261535176,10.667203339513446,37.85560044827011,10.017953165999256
validation-mape,8.483899395058526,6.78981507279508,4.778689740493852,8.634615681133722,18.911416333307205,8.505997567935065
testing-RMSE,3.969453876753988,5.71426540972481,2.2831842805419855,6.255843928272056,39.9868368406731,2.249454285300303
validation-RMSE,4.844527491213075,7.897707138912089,3.1458952486684173,5.0946781856427705,20.667708974688427,1.9156282575935002
testing-MPE,1.9477281219996152,4.342915264555836,-0.21329757427600218,10.667203339513446,37.85560044827011,-6.446346634359636
validation-MPE,-2.958945722177327,-4.937699784474643,2.8784165949223754,8.445948760292836,18.67943394643126,-0.4723709440330464
