Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,8.660538055156843,2.4355519875320257,1.618581894941845,1.1984873081996452,373.5305840353559,1.1120603235245914
Validation-MSE,10.164536553055767,9.778810579755518,2.026345435667092,2.750993930743105,105.75425755442286,1.585606801670906
testing-MAE,2.428778120588185,1.2083049042968745,1.0282150513689157,0.8660072898662194,19.127174980632955,0.840159009201185
validation-MAE,2.751155733332831,2.4615318354620666,1.084825528407046,1.3389550192742599,9.422427634213097,1.031789736596091
testing-mape,4.054243015694895,1.3565153375531944,1.6556982179930606,1.3955555725774957,15.430498506500246,4.515072856418657
validation-mape,5.679408951213368,2.801958510261393,1.9167393898973457,2.340140198687258,8.703143402506992,5.441180171160244
testing-RMSE,2.9428792117850917,1.5606255116241134,1.2722349998887175,1.094754451098348,19.326939334394257,1.0545427082506384
validation-RMSE,3.1881870323203696,3.1271089811126696,1.423497606484497,1.6586120494989494,10.283688907897927,1.2592087998703416
testing-MPE,1.1364965814234218,0.6051724816468576,0.4025385295348195,-0.24559708223380744,15.430498506500246,-1.7325527842965678
validation-MPE,-5.1745864987466055,-0.46002300452353556,-1.4110511596663855,-1.693955286114819,8.674141690161893,-4.701417375748189
