Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,14.781337461626682,4.432506400528063,2.33780014016503,3.811995708202085,250.57434488048665,20.05700259143829
Validation-MSE,4.214233629166541,12.907515651942422,5.256017934761984,15.73343722295554,24.60493699207792,19.802088540189686
testing-MAE,3.1542686546792904,1.6820423702036085,1.2245876117083792,1.5461920708699177,15.140553292735412,3.859738662562007
validation-MAE,1.649264847819728,2.822093886920057,1.8983568423440491,3.5303104268841663,3.960116661736739,3.7840596259085677
testing-mape,5.35315093037995,1.9102584627634152,1.958475723428867,2.4591844624883277,11.804764240690844,17.739532437439234
validation-mape,3.5023821803130186,3.205518540382591,3.303663030248531,5.9051898053412915,3.38665888732587,16.996057724789452
testing-RMSE,3.8446504992816553,2.1053518472046573,1.528986638321287,1.952433278809313,15.829540261185308,4.478504503898404
validation-RMSE,2.0528598659349697,3.592703112134709,2.2926006923932447,3.966539703942914,4.960336378924107,4.449953768320485
testing-MPE,5.008100295810096,1.5762165283103646,-0.2097603502742238,-1.8083947127428093,11.804764240690844,-15.598346333716098
validation-MPE,-1.2148018394179065,-0.830223277826239,-2.8449402178784218,-5.81024424530211,1.1355155580047804,-16.3731188010014
