Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,21.40110199795925,23.029307419562645,5.221543361249989,3.3814397843631423,63.52841859482429,15.795336365796715
Validation-MSE,3.2021545101413427,19.935102005048087,20.959993393702742,5.3462836703861765,11.954515801539687,14.504295979060647
testing-MAE,3.941174944793971,4.327586246331409,1.8718677125341363,1.5352011094160498,7.070697212726425,3.4532204792102372
validation-MAE,1.45504233075247,3.6516040704945336,4.022590993686609,1.8472667210896812,2.663417259780615,3.282926581362005
testing-mape,6.856138603386499,4.5727331155892905,3.0057622680171203,2.446940688568638,5.159644090164295,16.280041423625903
validation-mape,3.0608434186572984,4.000743480858541,6.716781522931674,3.1759811390739823,2.2947816817559135,15.227643506283684
testing-RMSE,4.626132509770905,4.798886060281349,2.2850696622313267,1.8388691591201214,7.970471667023495,3.974334707318536
validation-RMSE,1.7894564845620982,4.464874242915257,4.578208535410193,2.3122032069838014,3.4575303037774936,3.8084506008429
testing-MPE,6.781905440116638,-4.5585871604714505,1.001418023134879,-0.6241913785407459,5.079793466846376,-14.697291621130729
validation-MPE,-0.39118165089640533,-3.204677092532621,-6.3668972633281795,-2.737144996396908,-0.1603117080481184,-15.097949764917242
