Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,9.224751931999814,16.084965372646355,6.724836129633678,8.13091922453693,36.28856293388329,2.12713561427951
Validation-MSE,2.7597481272458366,10.317715418206507,2.156408381149876,2.7016607203991607,12.674699456315368,1.25231403914673
testing-MAE,2.251384973545203,3.033547599339201,1.9631254927886694,2.055097325351519,4.506443694282789,1.1631747549271576
validation-MAE,1.2427080075889,2.258259842546733,1.1845427003839977,1.2989080001706788,2.7761991994672472,0.8960679115231566
testing-mape,6.00208965305263,5.257790977185196,4.873509746258788,4.899533231086183,5.714307583314579,6.360048136218316
validation-mape,3.4547501625494847,4.056482048478759,2.801032470510549,2.8760838266956603,4.023087008030219,5.038066269764115
testing-RMSE,2.532316507156477,3.520272415408215,2.2558647153030975,2.3434118432158826,5.0469906585456,1.3842028148606915
validation-RMSE,1.4878147529902148,2.691212157200869,1.396299435591409,1.5185701579463753,3.2264528606107796,1.0781679065382077
testing-MPE,0.5729638038800566,3.358345086328307,2.8408635634181434,1.5440908402045328,5.152123866273216,-0.7891814537129476
validation-MPE,0.5940769410765578,1.0698570265195726,0.6240371457885228,-0.6863740564292955,1.7095771497600005,0.0769587845829578
