Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,8.387013803977384,41.054983584489335,19.975824642349515,10.378301545636665,92.25097696865214,4.0306287480393275
Validation-MSE,0.9714690174570082,2.875082230501858,2.2612522102984816,1.4142615949396913,4.570972962521355,0.9012535170976678
testing-MAE,3.0176179109190278,8.96464211614578,7.516754527144044,4.987247206380956,3.7974710005730796,3.712615805740534
validation-MAE,1.129439112946376,2.991367786963024,2.265628780705362,1.4572381705492847,4.658659965724695,0.9221708239719877
testing-mape,4.342879332438416,8.259884111376019,9.79461773874883,4.47056412030946,17.428719996198872,2.403524745628207
validation-mape,0.9970169151544274,1.0679847666537685,1.4224853701211613,0.8592597220918383,1.693096283551591,0.5884757886433721
testing-RMSE,3.012264666717133,2.124318853360742,3.1736123236310143,1.498822270503644,2.0813972012732322,3.192816116979323
validation-RMSE,1.0526030900642842,1.3378637495283205,1.6109283145067643,0.9444093493269969,2.0549764314093153,0.6794634562086831
testing-MPE,7.8277539735598705,10.009313050035185,11.316660245200987,6.085210315662612,6.925400159929997,8.792871978897267
validation-MPE,4.675194524449667,4.727897691044449,5.465935575684983,2.939637970527142,2.8942245100446695,6.764767205273827
