Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,142.3785688163544,121.70379852831391,27.24647003971606,30.046422802019027,399.1092924972918,5.724032324024975
Validation-MSE,63.619224967909716,57.42991006860145,17.109304877450313,25.393908494584856,216.6439052247691,4.101787466811851
testing-MAE,9.029847083134015,9.096752147989513,4.168174804659089,4.735759758774803,15.94036755641647,1.9618034188898945
validation-MAE,6.1973793030166195,6.029278318803889,3.3889079820390235,4.397920149241426,12.204536623942833,1.653698687263883
testing-mape,39.83945207147677,19.108637904803853,12.063717796137436,11.373963705534534,30.717025729060715,11.659633382625106
validation-mape,21.01081104470545,14.764245215636047,8.994675857395704,10.834066908336249,25.869466069648997,9.78946976503875
testing-RMSE,10.005315880973587,10.018696954900069,4.6481606061570755,5.136375686746256,17.18930152118737,2.2035254670680486
validation-RMSE,6.909131280611703,6.868012268523179,3.7830835541821353,4.7531172464622164,13.618005427453785,1.9060184522466674
testing-MPE,33.32330841348123,8.67076740399292,11.395268765636063,5.852257779235297,23.727619494316663,5.792133325706883
validation-MPE,13.360140414732175,4.72406454858457,7.782315426831852,5.916064320867444,18.642100911178176,7.62540233384986
