Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,183.78700970856758,94.15198465900953,22.577038781373723,17.472158347944653,334.30592412145904,5.321146566625051
Validation-MSE,6.490833783545344,4.566386679251578,1.9259814024333441,1.8084142414035458,9.120048975960819,0.8946294780117406
testing-MAE,50.53006063201899,11.438622184406844,8.872863321297183,6.966595399974097,20.709636531586877,5.363258007777641
validation-MAE,6.508271477084191,4.691082958351344,1.9631639547351183,1.7530436347325173,8.931669061895565,0.8779957402311039
testing-mape,66.79362275212756,45.889551739786185,15.1797503964337,14.407038128678467,105.47617508966034,2.4453620763584065
validation-mape,3.918490112989676,2.9629813634506097,1.5965858161665278,1.7500639168914505,4.366805368574864,0.6195772994197509
testing-RMSE,17.52589517589746,11.662767291862165,6.233983715070838,5.502403832750484,18.8018694954,3.4867595486692076
validation-RMSE,3.9840767290278984,3.0784267066198803,1.6444204140990784,1.745187483256946,4.379919427110882,0.6599866809084738
testing-MPE,53.81436208983736,19.42919985817921,9.225267809338606,11.249575990903338,24.199921002318703,9.980279247810712
validation-MPE,22.89742890983235,17.180369991274024,9.195406391289406,10.082455382571165,23.43633310879609,5.866833552305597
