Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,29.701413735707128,66.79474003383571,13.301502013802601,9.143512581714848,125.50638858925136,7.179780843431514
Validation-MSE,7.796909684982516,15.317839881451548,3.125580004829263,3.0892102735343685,25.910279806561107,2.717078537849056
testing-MAE,4.479810920712848,6.640337779034317,2.9079150337272712,2.3764759311682235,8.723807611892243,2.2345087912786163
validation-MAE,1.9952088826401482,3.083605051910161,1.4732521116499364,1.3795753945648521,3.7070008961944483,1.3163174251743128
testing-mape,11.841563293805418,16.439488385234043,7.533674583702568,5.89089749133046,10.672633481886368,11.846205687520413
validation-mape,5.765403185913638,7.472449986627876,3.5535976684519,3.3213927757930213,5.286227623427322,7.273739221217528
testing-RMSE,5.0316049834348835,7.336238333783936,3.245753440760128,2.6646062518343223,9.266827789004132,2.451172016074116
validation-RMSE,2.4285139461160425,3.5953818499849732,1.7042429803143642,1.6297063283385,4.354681679424712,1.5162537508436251
testing-MPE,1.255922892532304,15.284671394375087,6.0327908498198255,4.535640045087753,9.170390603855804,1.5553066111522384
validation-MPE,0.7395928961012997,6.446596718225129,1.0298338261420237,1.5046780516378704,4.02108796814135,0.945695619704445
