Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,20.89786553402598,56.549955291626986,14.610394160576089,8.38352281356643,154.22543809451219,6.863392858186121
Validation-MSE,1.9609754878778611,3.353509152799171,1.6199667934118263,1.4002739388840075,6.242866480027331,1.1184792469458316
testing-MAE,5.259486199815251,13.648313573949903,6.392982731936676,4.539763079596176,5.617860825844759,4.061860088139183
validation-MAE,2.0938875390957317,3.6019921076752506,1.6633059296462558,1.429470567867801,6.295418279843854,1.082375439044451
testing-mape,8.703895121956267,12.328627229580606,1.8287766193199013,2.5611736187932093,24.987835431847312,2.2038030543456473
validation-mape,1.0775696086736266,1.4220314848195985,0.44729395742576533,0.5925388085407022,2.2573954243339602,0.5982356239160781
testing-RMSE,3.5415902505621495,4.903450472405766,1.3795538558900022,1.743610446805438,3.857030721141656,3.1177313607673667
validation-RMSE,1.378125429161803,1.5463082597755773,0.4702508573926007,0.6582306259266681,2.6357213960211876,0.6465702598339128
testing-MPE,12.497256554212465,14.564490360070849,7.674324453093897,5.76268312475367,7.469504275747022,12.10607338869748
validation-MPE,6.124156627411042,5.7734585735532455,3.414864400413985,3.0077377806696632,4.84251832416328,7.472841645108696
