Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,9.028549501077622,48.79260387622795,14.070820824166722,13.118887996456746,137.65774363391455,3.2142216985064964
Validation-MSE,3.9538628863770597,11.805757078660704,6.707664295316739,5.395207038060527,23.102354661561595,1.695268904647709
testing-MAE,2.188631357337722,5.746111014995961,3.0901612090267214,2.8798746212927355,8.984842941255444,1.4406826727597937
validation-MAE,1.5157979529900478,2.6359273974282003,2.071323308855022,1.9089235802525728,3.516380646759494,1.0229618500474225
testing-mape,6.784348733174918,12.17505857719679,7.192471334780879,6.47811727619905,12.464925403513456,8.013324114679197
validation-mape,4.528189132084053,5.5880611043575135,4.701162062575986,4.378483495466446,5.323641387898316,5.944915694291701
testing-RMSE,2.4747625461783134,6.2854667739075065,3.3641513136653223,3.19318247972818,9.569043566899087,1.6463347350951572
validation-RMSE,1.7761980294621662,3.1611104183523855,2.3683631864651202,2.1530663681327282,4.187467800837044,1.2130212865031815
testing-MPE,2.4110300048034317,10.836791980014114,2.3721608902939972,2.3666265170113476,12.143687333199765,-0.2578715926753503
validation-MPE,2.2526148807130677,3.895533524731755,-0.025586891815339907,0.23452004647777072,3.7016061908676994,0.449953768214009
