Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,48.21925276496443,228.72570088881648,43.281678005815074,33.109702294106015,237.14563339916384,5.897062792357339
Validation-MSE,27.7474530642125,144.5057749925483,20.148498356617004,33.13928136707678,116.93683874157159,3.699151165970803
testing-MAE,5.261413409976925,12.847648651930763,5.31212028278517,4.85516788870115,12.683989306116155,1.9302165956893518
validation-MAE,4.254455816373345,9.935484087739392,3.67932010393307,4.797472956758724,8.822578356582024,1.4821710678223992
testing-mape,17.219490494943795,27.42233048064267,10.842175741764567,12.409884255496994,17.622591954213352,10.059107356517021
validation-mape,13.94512812928481,21.759027085917946,8.69709866373926,13.289812644128324,13.161328689315312,8.544201453971823
testing-RMSE,5.839337001617962,13.504720896300878,5.8110943197378075,5.321219413870705,13.654509736631207,2.2653947452303163
validation-RMSE,4.7099061652636385,10.655634949290617,4.1852742681615585,5.163269839279858,9.60492248019231,1.7805234456441412
testing-MPE,13.052099206687572,19.59946029338501,0.61713637816596,11.488842313068613,15.267987843345328,-2.113277169094263
validation-MPE,12.261601193310696,10.31770085278729,0.13758575977111226,11.808280044422805,11.0658578082388,5.247768935213306
