Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,71.09423499635855,201.36065938670708,47.42918194147236,26.26047231499191,216.48537856239156,3.800304413774744
Validation-MSE,3.8143195456172307,6.940180442824871,3.0295121726143286,2.281110981786043,7.093929678377153,0.8025027507040049
testing-MAE,18.699204282956206,14.07174841639052,4.942736271274168,7.991781243815781,8.562513438199957,3.488460801161657
validation-MAE,3.757844614469814,6.807952291389159,3.0842925952195364,2.1895949953248284,7.120393054558676,0.8746710471029709
testing-mape,26.774660183891957,158.40611914588368,16.86098995937211,33.08621486714009,111.22055911074986,2.8168324407581102
validation-mape,2.3174942849705893,5.464104076758854,1.5083972818512819,2.5224505209593606,5.0440585376879445,0.6324406217517041
testing-RMSE,9.424402794358667,9.569779530673827,4.0163012366586175,10.434816192678323,6.581146958894534,3.189045608136788
validation-RMSE,2.3588634930033727,5.564460335019445,1.6223370971785538,2.5455698642661,4.968128711201835,0.7272464681813987
testing-MPE,21.022888644224405,23.433797289866,11.361973752548746,8.876923607528653,11.067772364195696,8.80205247467116
validation-MPE,11.010312887349869,21.21225914850655,9.247630532829087,11.907255255207275,9.051511438353913,5.074120397991321
