Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,14.244138193258333,37.22658636526724,11.386230476950445,103.93622574644046,58.0401356748729,7.876365524143573
Validation-MSE,2.727402043202263,14.766656298210368,4.918241398939091,102.02391276141539,18.589606940002046,3.8059623092111288
testing-MAE,3.0286134569695666,5.011857404830961,2.5704105084564484,5.27157022779055,6.359885342768468,2.17542359713259
validation-MAE,1.2477895978794498,2.791987184625883,1.6426268985916814,4.499219156561745,3.309938403225197,1.3830210775943172
testing-mape,9.253470452772634,9.64223263727355,6.541164922754933,18.12602274216357,8.179183129023361,10.638127257628728
validation-mape,3.830516350547434,5.292714553214408,3.704689731701964,16.01249008269893,5.047706786361871,6.892242258323073
testing-RMSE,3.3841538301641565,5.506551917212414,2.8657073634300603,5.535041458004587,6.854519989687835,2.4129238206402794
validation-RMSE,1.5150960740228214,3.273166665599098,1.904862253220068,4.711382815441619,3.8269701278794286,1.6417600482329466
testing-MPE,3.788910860038164,8.374956420494211,5.8212617891829215,17.301748299855795,7.2045947632102365,-5.652223868347058
validation-MPE,2.156751462271494,3.2477311091214602,1.4672117533971902,14.797903721671108,4.120314341868292,-2.7256451163712656
