Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,13.710622633752978,31.14069745295055,13.628519228430756,279.93157867228547,47.488172531238874,7.031440714432105
Validation-MSE,1.5777907736042778,2.434801108763906,1.734563973847018,8.584409065247051,3.3761679727955665,1.3886183435648056
testing-MAE,6.779759345797767,4.824114048687103,5.980237826289727,35.46280038102842,3.848098138793165,5.893838171302432
validation-MAE,1.6708204712187391,2.6276362663640334,1.7815588073743667,8.561515158230517,3.325009982818515,1.433235556330602
testing-mape,2.173824097932824,16.84809734308715,5.980245467659921,292.70926427580446,17.742815684155516,4.692014730668648
validation-mape,0.603150841312032,1.7795315029895542,1.0397163580564135,8.940227951047333,1.8557642395385088,0.9349932013583265
testing-RMSE,2.607921794612097,2.5127296541980835,2.294848698380337,36.56153123596096,3.768776655074618,3.6598632458798934
validation-RMSE,0.6571802870467867,2.013215407605766,1.1356677309831675,8.934583634830267,1.9859271336885824,1.0538435620324687
testing-MPE,10.63113129975861,6.479131270596628,6.4082475948583575,35.838399049829654,5.083536822396753,10.239412972992046
validation-MPE,3.4660603594231496,4.5258530336892795,3.7635191322252073,37.044374586928825,4.628011189091191,6.65991701612361
