Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,59.773921533289844,7.634389844108043,24.587672799552227,27.96267310200113,594.0718145879114,0.9551566511481864
Validation-MSE,10.495276481777298,10.517244661984485,5.103457053767242,6.423543745718924,171.68997369605725,1.1679136992662829
testing-MAE,7.475529439807453,2.2259125318765562,4.793571446390608,5.1780692223689,24.15797612917416,0.7905525368112211
validation-MAE,2.841113805537153,2.4018030178886534,1.932399484073037,2.11774017271343,11.155940778106155,0.8610212751537124
testing-mape,14.284433839680787,2.5301452247046767,8.273654818840766,9.021800140541583,20.313236834988587,4.1617476508660145
validation-mape,6.239478046560074,2.7454995809106273,3.513536914415522,3.8695683539108434,10.46627671755663,4.561307329672551
testing-RMSE,7.731359617382304,2.763039964261835,4.9585958495880895,5.287974385528085,24.373588463496944,0.9773211606980514
validation-RMSE,3.2396414125296795,3.243030166678146,2.2590832330322055,2.5344710978267093,13.103052075606556,1.0807005594827288
testing-MPE,14.284433839680787,1.2317561023219854,8.273654818840766,9.021800140541583,20.313236834988587,-1.0508647242274596
validation-MPE,5.712495192733924,-0.6677009031571088,2.7680867316949858,3.4569646640152376,10.307658174491072,-3.6350177881253884
