Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,40.027494591668706,10.447686370005387,1.9828818069522507,9.001299109691265,13.487832722314588,1.807322486758031
Validation-MSE,7.968675734189069,17.05053531493907,3.9722011270052957,9.148776376281738,28.705886702498702,2.162333776475809
testing-MAE,6.029253779385458,2.7470130000734585,1.1265016922834277,2.7617625767681826,2.999872140875623,1.1201260037717566
validation-MAE,2.4482576496280894,3.314688122582149,1.621166482042814,2.6030079995299222,4.552255893961589,1.1975180595695094
testing-mape,11.147550370376297,3.1765897766473032,1.812673199552035,4.265946139396803,2.089994818787131,5.900956355556311
validation-mape,5.275548455362863,3.762943157573263,2.8449088293244813,4.419801288466727,3.902276666719421,6.316098988573398
testing-RMSE,6.326728585269698,3.2322881013309113,1.4081483611296968,3.0002165104690803,3.6725784841599487,1.344366946468869
validation-RMSE,2.8228842934468763,4.12922938512007,1.9930381649645588,3.0246944269267497,5.357787482020792,1.4704875982053738
testing-MPE,11.147550370376297,3.064031343106121,0.4423222150471744,-4.185787029898223,0.97182644581023,-1.937143549098371
validation-MPE,4.681392938831917,0.6633957108745236,-2.2502772458869726,-4.006963255630285,-3.7646373972404086,-5.17815431755518
