Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,13.827582714076259,20.83547047452683,4.62831599155473,40.913500957789545,1684.8790502933575,4.37740013784434
Validation-MSE,20.926947969241226,49.95494389042518,10.876243824926162,26.59640292803565,441.4784152478425,3.430003438574096
testing-MAE,3.081736310194708,3.87207679743674,1.857739284408704,6.211535662755377,40.27325371490424,1.8389453185376192
validation-MAE,4.182764279177493,5.819219851470411,2.784819569525468,4.589879708502518,18.918449169986122,1.5480782674065305
testing-mape,5.183166414377287,4.530370814737332,2.9742356335722078,11.001762586854962,39.48037742957272,9.546889430243631
validation-mape,8.468545226288812,6.22564475645683,5.127137439878615,8.801543938700712,19.60761414901967,8.283463699567106
testing-RMSE,3.7185457794783514,4.564588751960775,2.1513521309991837,6.39636623074301,41.04727823246454,2.092223730351116
validation-RMSE,4.574598121063885,7.067881145748362,3.2979150724247224,5.157170050331446,21.011387751594192,1.8520268460727278
testing-MPE,0.2112714523470434,3.442373883064684,0.3921032712485965,11.001762586854962,39.48037742957272,-6.083232839375699
validation-MPE,-3.7153724520991647,-5.191116498613107,3.3093823192228333,8.668853689505191,19.60262021715684,-0.7017666930088536
