Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,8.797770365057396,2.239237888023904,1.4952539121740038,1.0929686127017566,373.93469149566647,1.1029888957303637
Validation-MSE,9.542298138195774,9.9301324766341,1.8494926901591429,2.5078002179626577,105.70595899285986,1.4742260583935163
testing-MAE,2.4412681642763943,1.1518281492196139,0.9537528975257534,0.8080642226368054,19.140636000773473,0.8379859567860292
validation-MAE,2.6805996495237636,2.4682382050438574,1.0657778018070685,1.2378973176901302,9.411434309345447,0.9966411515117446
testing-mape,4.070888735439881,1.2929911445803597,1.5330144741378922,1.300056857438906,15.439585928330423,4.513365738018579
validation-mape,5.550991080363312,2.8115837851238985,1.8830307098026582,2.168935952621329,8.68743898103006,5.290947253278062
testing-RMSE,2.9661035661381407,1.496408329308516,1.222805754064808,1.0454513918407478,19.337391020912477,1.0502327816871666
validation-RMSE,3.089061044750617,3.1512112713421963,1.359960547280377,1.5836035545434526,10.28134033056293,1.2141771116247895
testing-MPE,1.4043500721505107,0.551888023046426,0.7321546119915926,-0.2828426050779889,15.439585928330423,-1.755571346436734
validation-MPE,-5.061515273453923,-0.5868934555273058,-1.338811613843478,-1.8174361510561665,8.664314258467897,-4.718360375863371
