Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,14.653296403751831,4.50741198229001,2.0802753833992487,4.05982583583942,249.94979512463598,21.26139566394863
Validation-MSE,4.286792159479678,11.786609186007468,4.827759212256093,15.42871542960606,24.50095122150491,20.86146030751547
testing-MAE,3.141798301435893,1.7175275560702439,1.1499839035838977,1.6070548248042549,15.117776039187811,3.9772006766778722
validation-MAE,1.6616361134544075,2.686938324679189,1.8153826781937445,3.5053548596651845,3.951653253919099,3.899672849863153
testing-mape,5.330511736283312,1.9528526736991187,1.8434823750929683,2.555094646294036,11.784895466798167,18.167779992322977
validation-mape,3.5292764978441014,3.0581510588025362,3.165142323572783,5.866868472466236,3.3793800280550763,17.40187861290241
testing-RMSE,3.8279624349974792,2.1230666457485525,1.44231597904178,2.014900949386699,15.8098006035698,4.611008096278798
validation-RMSE,2.0704569929075265,3.4331631458477863,2.1972162415784418,3.9279403546395737,4.94984355525555,4.567434762261577
testing-MPE,4.9731239744278275,1.717461595042381,-0.20165692303710028,-1.8384988884323796,11.784895466798167,-15.976793240174203
validation-MPE,-1.2697472603228444,-0.5901535712789663,-2.6921067183681933,-5.737696737213479,1.1222403358219197,-16.952122437581604
