Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,22.42310715975033,258.74726864455187,5.615235546770746,8.591088490544173,616.8332528235798,6.711617678244913
Validation-MSE,14.9690292897897,240.10732383591113,17.976422733521446,3.7758624841015926,300.23728178903343,9.093723739383504
testing-MAE,4.134401149869936,15.917042922008953,1.9174630398791823,2.3816970342207378,22.85730337861674,2.30183133110438
validation-MAE,3.4379318782265287,14.50096539161013,3.2792277536674628,1.5341582113133483,16.709737041229783,2.413970114269591
testing-mape,7.36936230195577,21.706979620685267,3.0938930543152825,3.897956088746736,19.355086395883564,11.722459504993832
validation-mape,7.951093249704782,19.784589886142943,5.513652787427996,2.6819729439550617,17.23654115498002,12.186233925871418
testing-RMSE,4.735304336550116,16.085623041851747,2.3696488235117763,2.9310558661588444,24.836127975664397,2.5906789994603563
validation-RMSE,3.8689829787412737,15.495396859580948,4.239861169132952,1.9431578639167721,17.327356457031563,3.01558016630026
testing-MPE,7.297386401994064,21.706979620685267,0.0587416121902947,3.18130481037809,19.355086395883564,-7.286088668973944
validation-MPE,7.394259532366944,19.724417515426442,-4.553650037784234,-1.461877648473164,17.23654115498002,-4.48869829327705
