Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,21.27872060141347,23.066225417281473,5.216212753323136,3.2451253345634443,58.867809028071655,15.515749237909812
Validation-MSE,3.339324714356887,19.86484365782864,20.980829894143497,5.209977435009418,10.03984745522242,14.164156451593126
testing-MAE,3.9603327706547287,4.336043736405904,1.8987507964709796,1.5154728571064362,6.822191756956928,3.430194456075212
validation-MAE,1.4976492993529742,3.6381895869676004,4.022287940904048,1.816155579717268,2.376578707157603,3.240178088301274
testing-mape,6.888937375926707,4.581678310928627,3.0506051307981115,2.4177183076567816,4.966153423132813,16.202927510891747
validation-mape,3.1674604207946473,3.9855179672147174,6.715602634258514,3.1255535471021445,2.0446793011265636,15.069861295152839
testing-RMSE,4.612886363375265,4.802731037366289,2.2839029649534446,1.801423141453291,7.672536023250178,3.9390035843992086
validation-RMSE,1.8273819289784188,4.456999400698708,4.580483587367549,2.2825374991463816,3.16857183210708,3.763529786197145
testing-MPE,6.7595462663176935,-4.560332098883689,1.0142254670577449,-0.621190078756946,4.907052739580429,-14.529846796318727
validation-MPE,-0.3356090984724727,-3.205065611126719,-6.403055454151843,-2.680480334563317,-0.1610578603446395,-14.904253509771436
